2021-10-05 22:48:34 - main_link_prediction.py[line:412] - INFO: - Namespace(batch_size=320000, dataset='MyDataset', decoder='DisMult', dropout=0.05, eval_every=1, fan_out='10,25', gpu=0, log_every=20, loss='CrossEntropyLoss', lr=0.001, margin=10.0, model='RGCN', neg_share=False, num_epochs=50, num_heads=[8, 4], num_hidden=64, num_layers=2, num_negs=1, num_output=64, num_workers=0)
2021-10-05 22:48:39 - main_link_prediction.py[line:168] - INFO: - --------------------------------------------------
2021-10-05 22:48:39 - main_link_prediction.py[line:169] - INFO: - Dataloader size: 109
2021-10-05 22:48:39 - main_link_prediction.py[line:170] - INFO: - Dataloader sample graph: 40787683
2021-10-05 22:48:39 - main_link_prediction.py[line:171] - INFO: - Train Edges: 34671896
2021-10-05 22:48:39 - main_link_prediction.py[line:172] - INFO: - Test Edges: 2037945
2021-10-05 22:48:39 - main_link_prediction.py[line:173] - INFO: - Valid Edges: 4077830
2021-10-05 22:48:39 - main_link_prediction.py[line:181] - INFO: - --------------------------------------------------
2021-10-05 23:03:34 - utils.py[line:544] - INFO: - F1 0.5005 | Precision 0.5003 | Recall 0.5006 | TP 160202.5312 | TN 159993.8125 | FP 160006.1875 | FN 159797.4688
2021-10-05 23:03:58 - utils.py[line:544] - INFO: - F1 0.5004 | Precision 0.5003 | Recall 0.5006 | TP 160184.7031 | TN 159992.1094 | FP 160007.8750 | FN 159815.2969
2021-10-05 23:04:23 - utils.py[line:544] - INFO: - F1 0.5005 | Precision 0.5003 | Recall 0.5007 | TP 160229.5312 | TN 159988.8594 | FP 160011.1562 | FN 159770.4688
2021-10-05 23:04:47 - utils.py[line:544] - INFO: - F1 0.5007 | Precision 0.5005 | Recall 0.5010 | TP 160309.8438 | TN 159982.7031 | FP 160017.2969 | FN 159690.1562
2021-10-05 23:04:47 - main_link_prediction.py[line:294] - INFO: - Epoch 00000 | Step 00040 | Loss 65.0905 | F1 0.5003 0.5002 0.5004 | Speed (samples/sec) 13325.7584|13325.7584 | Load 6.5927| train 17.4229 | GPU 2752.9 MB
2021-10-05 23:05:11 - utils.py[line:544] - INFO: - F1 0.5006 | Precision 0.5004 | Recall 0.5008 | TP 160241.4531 | TN 159986.1562 | FP 160013.8438 | FN 159758.5312
2021-10-05 23:05:35 - utils.py[line:544] - INFO: - F1 0.5007 | Precision 0.5004 | Recall 0.5009 | TP 160301.1250 | TN 159981.1094 | FP 160018.8906 | FN 159698.8750
2021-10-05 23:05:59 - utils.py[line:544] - INFO: - F1 0.5007 | Precision 0.5005 | Recall 0.5010 | TP 160305.4688 | TN 159984.9688 | FP 160015.0156 | FN 159694.5312
2021-10-05 23:06:23 - utils.py[line:544] - INFO: - F1 0.5007 | Precision 0.5004 | Recall 0.5010 | TP 160304.1875 | TN 159981.6562 | FP 160018.3438 | FN 159695.8125
2021-10-05 23:06:46 - utils.py[line:544] - INFO: - F1 0.5007 | Precision 0.5005 | Recall 0.5009 | TP 160302.4375 | TN 159987.4844 | FP 160012.5156 | FN 159697.5625
2021-10-05 23:07:10 - utils.py[line:544] - INFO: - F1 0.5009 | Precision 0.5005 | Recall 0.5012 | TP 160375.2188 | TN 159973.1562 | FP 160026.8438 | FN 159624.7656
2021-10-05 23:07:35 - utils.py[line:544] - INFO: - F1 0.5010 | Precision 0.5006 | Recall 0.5014 | TP 160432.0625 | TN 159969.2500 | FP 160030.7344 | FN 159567.9219
2021-10-05 23:07:58 - utils.py[line:544] - INFO: - F1 0.5008 | Precision 0.5005 | Recall 0.5011 | TP 160357.2812 | TN 159983.4062 | FP 160016.5938 | FN 159642.7188
2021-10-05 23:08:22 - utils.py[line:544] - INFO: - F1 0.5008 | Precision 0.5005 | Recall 0.5011 | TP 160347.3594 | TN 159976.6875 | FP 160023.3125 | FN 159652.6406
2021-10-05 23:08:46 - utils.py[line:544] - INFO: - F1 0.5012 | Precision 0.5008 | Recall 0.5016 | TP 160522.3125 | TN 159961.2344 | FP 160038.7656 | FN 159477.6875
2021-10-05 23:09:10 - utils.py[line:544] - INFO: - F1 0.5014 | Precision 0.5009 | Recall 0.5019 | TP 160607.0625 | TN 159942.2188 | FP 160057.7812 | FN 159392.9375
2021-10-05 23:09:34 - utils.py[line:544] - INFO: - F1 0.5009 | Precision 0.5006 | Recall 0.5012 | TP 160387.4844 | TN 159976.9375 | FP 160023.0625 | FN 159612.5000
2021-10-05 23:09:58 - utils.py[line:544] - INFO: - F1 0.5017 | Precision 0.5010 | Recall 0.5023 | TP 160729.8281 | TN 159941.7812 | FP 160058.2188 | FN 159270.1562
2021-10-05 23:10:22 - utils.py[line:544] - INFO: - F1 0.5013 | Precision 0.5008 | Recall 0.5017 | TP 160557.2344 | TN 159958.9062 | FP 160041.0938 | FN 159442.7500
2021-10-05 23:10:46 - utils.py[line:544] - INFO: - F1 0.5010 | Precision 0.5006 | Recall 0.5014 | TP 160437.1562 | TN 159977.8438 | FP 160022.1562 | FN 159562.8438
2021-10-05 23:11:10 - utils.py[line:544] - INFO: - F1 0.5010 | Precision 0.5007 | Recall 0.5014 | TP 160450.2188 | TN 159967.2188 | FP 160032.7812 | FN 159549.7812
2021-10-05 23:11:34 - utils.py[line:544] - INFO: - F1 0.5012 | Precision 0.5008 | Recall 0.5017 | TP 160543.8594 | TN 159966.3125 | FP 160033.6875 | FN 159456.1562
2021-10-05 23:11:58 - utils.py[line:544] - INFO: - F1 0.5013 | Precision 0.5008 | Recall 0.5017 | TP 160552.1875 | TN 159963.0312 | FP 160036.9688 | FN 159447.8125
2021-10-05 23:12:22 - utils.py[line:544] - INFO: - F1 0.5012 | Precision 0.5008 | Recall 0.5017 | TP 160536.7812 | TN 159966.6875 | FP 160033.3125 | FN 159463.2188
2021-10-05 23:12:46 - utils.py[line:544] - INFO: - F1 0.5014 | Precision 0.5009 | Recall 0.5020 | TP 160632.9219 | TN 159952.9531 | FP 160047.0469 | FN 159367.0781
2021-10-05 23:12:46 - main_link_prediction.py[line:294] - INFO: - Epoch 00000 | Step 00060 | Loss 56.6810 | F1 0.5005 0.5003 0.5007 | Speed (samples/sec) 13338.9785|13338.9785 | Load 6.5775| train 17.4143 | GPU 2752.9 MB
2021-10-05 23:13:10 - utils.py[line:544] - INFO: - F1 0.5016 | Precision 0.5010 | Recall 0.5022 | TP 160697.2188 | TN 159952.0938 | FP 160047.9062 | FN 159302.7656
2021-10-05 23:13:34 - utils.py[line:544] - INFO: - F1 0.5012 | Precision 0.5007 | Recall 0.5016 | TP 160503.5312 | TN 159970.5938 | FP 160029.4062 | FN 159496.4688
2021-10-05 23:13:58 - utils.py[line:544] - INFO: - F1 0.5012 | Precision 0.5008 | Recall 0.5017 | TP 160530.6562 | TN 159970.8438 | FP 160029.1562 | FN 159469.3438
2021-10-05 23:14:22 - utils.py[line:544] - INFO: - F1 0.5014 | Precision 0.5009 | Recall 0.5019 | TP 160597.8750 | TN 159960.5625 | FP 160039.4375 | FN 159402.1250
2021-10-05 23:14:46 - utils.py[line:544] - INFO: - F1 0.5014 | Precision 0.5009 | Recall 0.5019 | TP 160603.6250 | TN 159962.2500 | FP 160037.7500 | FN 159396.3594
2021-10-05 23:15:10 - utils.py[line:544] - INFO: - F1 0.5014 | Precision 0.5009 | Recall 0.5019 | TP 160603.6562 | TN 159963.8750 | FP 160036.1094 | FN 159396.3438
2021-10-05 23:15:34 - utils.py[line:544] - INFO: - F1 0.5015 | Precision 0.5010 | Recall 0.5021 | TP 160674.0625 | TN 159960.5156 | FP 160039.4844 | FN 159325.9375
2021-10-05 23:15:58 - utils.py[line:544] - INFO: - F1 0.5030 | Precision 0.5019 | Recall 0.5041 | TP 161321.9062 | TN 159870.6875 | FP 160129.3281 | FN 158678.1094
2021-10-05 23:16:22 - utils.py[line:544] - INFO: - F1 0.5014 | Precision 0.5009 | Recall 0.5019 | TP 160617.4219 | TN 159962.2188 | FP 160037.7812 | FN 159382.5625
2021-10-05 23:16:46 - utils.py[line:544] - INFO: - F1 0.5014 | Precision 0.5009 | Recall 0.5020 | TP 160625.1250 | TN 159967.7812 | FP 160032.2188 | FN 159374.8750
2021-10-05 23:17:10 - utils.py[line:544] - INFO: - F1 0.5031 | Precision 0.5019 | Recall 0.5042 | TP 161343.3906 | TN 159889.0312 | FP 160110.9688 | FN 158656.6094
2021-10-05 23:17:34 - utils.py[line:544] - INFO: - F1 0.5020 | Precision 0.5013 | Recall 0.5027 | TP 160873.8438 | TN 159949.4688 | FP 160050.5312 | FN 159126.1562
2021-10-05 23:17:58 - utils.py[line:544] - INFO: - F1 0.5023 | Precision 0.5014 | Recall 0.5031 | TP 161000.6250 | TN 159924.0000 | FP 160075.9844 | FN 158999.3750
2021-10-05 23:18:22 - utils.py[line:544] - INFO: - F1 0.5022 | Precision 0.5014 | Recall 0.5030 | TP 160973.8750 | TN 159932.7188 | FP 160067.2812 | FN 159026.1406
